workerid,trial_number,context_picture,response,target_size,adj,syntax,target,item,adj_cond,trial_type,response_num
workerid_0019,3,images/bird-parade-basic_filler.png,eagles,big,big,subj,eagle,birds,congruent,filler,0
workerid_0019,4,images/bird-parade-basic.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,critical,0
workerid_0019,1,images/tree-parade-basic_filler.png,redwoods,big,big,pred,redwood,trees,congruent,filler,0
workerid_0019,2,images/flower-parade-basic_filler.png,dandelions,small,small,pred,dandelion,flowers,congruent,filler,0
workerid_0019,3,images/flower-parade-basic.png,sunflowers,big,big,subj,sunflower,flowers,congruent,critical,0
workerid_0019,4,images/tree-parade-basic.png,bonsais,small,small,subj,bonsai,trees,congruent,critical,0
workerid_0020,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1
workerid_0020,2,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,critical,1
workerid_0020,3,images/dog-parade-basic.png,service dogs,big,big,pred,doberman,dogs1,congruent,critical,1
workerid_0020,4,images/dog-parade-basic_filler.png,dogs,small,small,subj,chihuahua,dogs1,congruent,filler,1
workerid_0020,1,images/dog-parade-basic2_filler.png,dogs,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0020,2,images/flower-parade-basic_filler.png,flowers,small,small,pred,dandelion,flowers,congruent,filler,1
workerid_0020,3,images/flower-parade-basic.png,floral gifts,big,big,subj,sunflower,flowers,congruent,critical,1
workerid_0020,4,images/dog-parade-basic2.png,prize winning dogs,small,small,pred,pug,dogs2,congruent,critical,1
workerid_0021,1,images/bird-parade-basic_filler.png,birds,small,small,pred,hummingbird,birds,congruent,filler,1
workerid_0021,2,images/bird-parade-basic.png,rescue birds,big,big,subj,eagle,birds,congruent,critical,1
workerid_0021,3,images/dog-parade-basic2_filler.png,dogs,big,big,pred,Great Dane,dogs2,congruent,filler,1
workerid_0021,4,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,critical,1
workerid_0021,1,images/dog-parade-basic_filler.png,dogs,small,small,subj,chihuahua,dogs1,congruent,filler,1
workerid_0021,2,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,critical,1
workerid_0021,3,images/dog-parade-basic.png,dogs,big,big,pred,doberman,dogs1,congruent,critical,1
workerid_0021,4,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1
workerid_0022,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1
workerid_0022,2,images/bird-parade-basic.png,hummingbirds,small,small,subj,hummingbird,birds,congruent,critical,0
workerid_0022,3,images/flower-parade-basic.png,sunflowers,big,big,pred,sunflower,flowers,congruent,critical,0
workerid_0022,4,images/flower-parade-basic_filler.png,flowers,small,small,subj,dandelion,flowers,congruent,filler,1
workerid_0022,1,images/dog-parade-basic2_filler.png,dogs,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0022,2,images/dog-parade-basic_filler.png,chihuahuas,small,small,pred,chihuahua,dogs1,congruent,filler,0
workerid_0022,3,images/dog-parade-basic2.png,pugs,small,small,pred,pug,dogs2,congruent,critical,0
workerid_0022,4,images/dog-parade-basic.png,service animals,big,big,subj,doberman,dogs1,congruent,critical,1
workerid_0023,1,images/dog-parade-basic_filler.png,chihuahuas,small,small,pred,chihuahua,dogs1,congruent,filler,0
workerid_0023,2,images/flower-parade-basic_filler.png,dandelions,small,small,subj,dandelion,flowers,congruent,filler,0
workerid_0023,3,images/flower-parade-basic.png,sunflowers,big,big,pred,sunflower,flowers,congruent,critical,0
workerid_0023,4,images/dog-parade-basic.png,service animals,big,big,subj,doberman,dogs1,congruent,critical,1
workerid_0023,1,images/dog-parade-basic2_filler.png,dogs,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0023,2,images/tree-parade-basic.png,other landmarks,small,small,subj,bonsai,trees,congruent,critical,1
workerid_0023,3,images/dog-parade-basic2.png,prize winners,small,small,pred,pug,dogs2,congruent,critical,1
workerid_0023,4,images/tree-parade-basic_filler.png,redwoods,big,big,pred,redwood,trees,congruent,filler,0
workerid_0024,1,images/dog-parade-basic_filler.png,dogs,small,small,subj,chihuahua,dogs1,congruent,filler,1
workerid_0024,2,images/dog-parade-basic.png,dogs,big,big,pred,doberman,dogs1,congruent,critical,1
workerid_0024,3,images/tree-parade-basic.png,trees,small,small,subj,bonsai,trees,congruent,critical,1
workerid_0024,4,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1
workerid_0024,1,images/dog-parade-basic2_filler.png,dogs,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0024,2,images/dog-parade-basic2.png,dogs,small,small,pred,pug,dogs2,congruent,critical,1
workerid_0024,3,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,critical,1
workerid_0024,4,images/bird-parade-basic_filler.png,birds,small,small,pred,hummingbird,birds,congruent,filler,1
workerid_0025,1,images/dog-parade-basic2_filler.png,Great Danes,big,big,pred,Great Dane,dogs2,congruent,filler,0
workerid_0025,2,images/bird-parade-basic.png,birds,big,big,pred,eagle,birds,congruent,critical,1
workerid_0025,3,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0025,4,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,critical,1
workerid_0025,1,images/flower-parade-basic_filler.png,sunflowers,big,big,subj,sunflower,flowers,congruent,filler,0
workerid_0025,2,images/dog-parade-basic_filler.png,chihuahuas,small,small,pred,chihuahua,dogs1,congruent,filler,0
workerid_0025,3,images/dog-parade-basic.png,dogs,big,big,subj,doberman,dogs1,congruent,critical,1
workerid_0025,4,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,critical,1
workerid_0026,1,images/tree-parade-basic_filler.png,trees,small,small,pred,bonsai,trees,congruent,filler,1
workerid_0026,2,images/dog-parade-basic2_filler.png,dogs,big,big,pred,Great Dane,dogs2,congruent,filler,1
workerid_0026,3,images/tree-parade-basic.png,landmarks,big,big,subj,redwood,trees,congruent,critical,0
workerid_0026,4,images/dog-parade-basic2.png,prize-winners,small,small,subj,pug,dogs2,congruent,critical,1
workerid_0026,1,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1
workerid_0026,2,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0026,3,images/dog-parade-basic.png,service-animals,small,small,pred,chihuahua,dogs1,congruent,critical,1
workerid_0026,4,images/bird-parade-basic.png,rescues,big,big,pred,eagle,birds,congruent,critical,1
workerid_0027,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1
workerid_0027,2,images/dog-parade-basic_filler.png,dogs,small,small,subj,chihuahua,dogs1,congruent,filler,1
workerid_0027,3,images/dog-parade-basic.png,dobermans,big,big,pred,doberman,dogs1,congruent,critical,0
workerid_0027,4,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,critical,1
workerid_0027,1,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1
workerid_0027,2,images/dog-parade-basic2_filler.png,pugs,small,small,pred,pug,dogs2,congruent,filler,0
workerid_0027,3,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,critical,1
workerid_0027,4,images/dog-parade-basic2.png,dogs,big,big,subj,Great Dane,dogs2,congruent,critical,1
workerid_0028,1,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0028,2,images/tree-parade-basic.png,trees,small,small,subj,bonsai,trees,congruent,critical,1
workerid_0028,3,images/bird-parade-basic.png,birds,big,big,pred,eagle,birds,congruent,critical,1
workerid_0028,4,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1
workerid_0028,1,images/dog-parade-basic2_filler.png,dogs,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0028,2,images/dog-parade-basic.png,dogs,big,big,subj,doberman,dogs1,congruent,critical,1
workerid_0028,3,images/dog-parade-basic2.png,dogs,small,small,pred,pug,dogs2,congruent,critical,1
workerid_0028,4,images/dog-parade-basic_filler.png,dogs,small,small,pred,chihuahua,dogs1,congruent,filler,1
workerid_0029,1,images/tree-parade-basic_filler.png,trees,small,small,subj,bonsai,trees,congruent,filler,1
workerid_0029,2,images/tree-parade-basic.png,redwoods,big,big,pred,redwood,trees,congruent,critical,0
workerid_0029,3,images/dog-parade-basic2.png,prize winners,big,big,subj,Great Dane,dogs2,congruent,critical,1
workerid_0029,4,images/dog-parade-basic2_filler.png,dogs,small,small,pred,pug,dogs2,congruent,filler,1
workerid_0029,1,images/dog-parade-basic_filler.png,dogs,big,big,pred,doberman,dogs1,congruent,filler,1
workerid_0029,2,images/bird-parade-basic_filler.png,birds,big,big,subj,eagle,birds,congruent,filler,1
workerid_0029,3,images/bird-parade-basic.png,rescues,small,small,pred,hummingbird,birds,congruent,critical,1
workerid_0029,4,images/dog-parade-basic.png,service animals,small,small,subj,chihuahua,dogs1,congruent,critical,1
workerid_0030,1,images/dog-parade-basic2_filler.png,pugs,small,small,pred,pug,dogs2,congruent,filler,0
workerid_0030,2,images/bird-parade-basic_filler.png,eagles,big,big,pred,eagle,birds,congruent,filler,0
workerid_0030,3,images/bird-parade-basic.png,hummingbirds,small,small,subj,hummingbird,birds,congruent,critical,0
workerid_0030,4,images/dog-parade-basic2.png,great danes,big,big,subj,Great Dane,dogs2,congruent,critical,0
workerid_0030,1,images/flower-parade-basic_filler.png,dandelions,small,small,subj,dandelion,flowers,congruent,filler,0
workerid_0030,2,images/tree-parade-basic.png,bonsai,small,small,pred,bonsai,trees,congruent,critical,0
workerid_0030,3,images/tree-parade-basic_filler.png,redwoods,big,big,subj,redwood,trees,congruent,filler,0
workerid_0030,4,images/flower-parade-basic.png,sunflowers,big,big,pred,sunflower,flowers,congruent,critical,0
workerid_0032,1,images/flower-parade-basic_filler.png,flowers,big,big,pred,sunflower,flowers,congruent,filler,1
workerid_0032,2,images/dog-parade-basic_filler.png,dogs,small,small,pred,chihuahua,dogs1,congruent,filler,1
workerid_0032,3,images/flower-parade-basic.png,flowers,small,small,subj,dandelion,flowers,congruent,critical,1
workerid_0032,4,images/dog-parade-basic.png,dogs,big,big,subj,doberman,dogs1,congruent,critical,1
workerid_0032,1,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0032,2,images/dog-parade-basic2_filler.png,dogs,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0032,3,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,critical,0
workerid_0032,4,images/dog-parade-basic2.png,pugs,small,small,pred,pug,dogs2,congruent,critical,0
workerid_0033,1,images/bird-parade-basic_filler.png,birds,big,big,subj,eagle,birds,congruent,filler,1
workerid_0033,2,images/bird-parade-basic.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,critical,0
workerid_0033,3,images/dog-parade-basic_filler.png,dobermans,big,big,pred,doberman,dogs1,congruent,filler,0
workerid_0033,4,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,critical,1
workerid_0033,1,images/dog-parade-basic2_filler.png,pugs,small,small,subj,pug,dogs2,congruent,filler,0
workerid_0033,2,images/dog-parade-basic2.png,grat danes,big,big,pred,Great Dane,dogs2,congruent,critical,0
workerid_0033,3,images/tree-parade-basic_filler.png,bonsai,small,small,pred,bonsai,trees,congruent,filler,0
workerid_0033,4,images/tree-parade-basic.png,trees,big,big,subj,redwood,trees,congruent,critical,1
workerid_0034,1,images/bird-parade-basic_filler.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,filler,0
workerid_0034,2,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,critical,1
workerid_0034,3,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,critical,1
workerid_0034,4,images/dog-parade-basic2_filler.png,great danes,big,big,pred,Great Dane,dogs2,congruent,filler,0
workerid_0034,1,images/tree-parade-basic_filler.png,trees,big,big,subj,redwood,trees,congruent,filler,1
workerid_0034,2,images/flower-parade-basic.png,sunflowers,big,big,pred,sunflower,flowers,congruent,critical,0
workerid_0034,3,images/tree-parade-basic.png,trees,small,small,pred,bonsai,trees,congruent,critical,1
workerid_0034,4,images/flower-parade-basic_filler.png,dandelions,small,small,subj,dandelion,flowers,congruent,filler,0
workerid_0035,1,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0035,2,images/dog-parade-basic.png,dogs,big,big,subj,doberman,dogs1,congruent,critical,1
workerid_0035,3,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,critical,0
workerid_0035,4,images/dog-parade-basic_filler.png,dogs,small,small,pred,chihuahua,dogs1,congruent,filler,1
workerid_0035,1,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1
workerid_0035,2,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1
workerid_0035,3,images/tree-parade-basic.png,trees,small,small,subj,bonsai,trees,congruent,critical,1
workerid_0035,4,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,critical,1
