submission_id,question,response1,sentence_left,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,pic_spec,understand,text,age,response,comments,ref_spec,picture1,response3,education,target_size,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,trial_name
282,NA,clipart,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,1,This is a,1,These are both,plant,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,2,This is a,1,These are both,bonasi,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,3,This is a,1,These are both,bonasi,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,plants,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,4,This is a,1,These are both,bonasi,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,5,This is a,1,These are both,bonasi,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,6,This is a,1,These are both,bonasi,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,Trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,7,This is a,1,These are both,bonasi,warmup2
282,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/sequoia.jpg,Trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987659541,8,This is a,1,These are both,bonsai,warmup2
282,NA,marlin,NA,NA,9,warmup/goldfish.png,swordfish,This is a,No,2,fish,elizabeth,goldfish,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,female,NA,fish,NA,2,1565987659541,1,This is a,1,These are both,gold fish,warmup2
282,NA,marlin,NA,NA,9,warmup/goldfish.png,swordfish,This is a,No,2,fish,elizabeth,goldfish,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,female,NA,fish,NA,2,1565987659541,2,This is a,1,These are both,gold fish,warmup2
282,NA,swordfish,NA,NA,9,warmup/goldfish.png,swordfish,This is a,No,2,fish,elizabeth,goldfish,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,female,NA,fish,NA,2,1565987659541,3,This is a,1,These are both,goldfish,warmup2
282,NA,humming bird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,No,2,birds,elizabeth,eagle,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/colibri.jpg,birds,graduated_college,NA,English,female,NA,birds,NA,3,1565987659541,1,This is an,1,These are both,eagle,warmup2
282,NA,hummingbird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,No,2,birds,elizabeth,eagle,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/colibri.jpg,birds,graduated_college,NA,English,female,NA,birds,NA,3,1565987659541,2,This is an,1,These are both,eagle,warmup2
282,Please rephrase your friend's comment.,NA,It is small relative to other,images/tree-parade-basic.png,9,NA,NA,NA,No,2,trees,elizabeth,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small bonsai.</b>,48,trees,None,0,NA,NA,graduated_college,small,English,female,NA,NA,You and your friend see the following:,1,1565987659541,NA,NA,1,NA,NA,custom_main_text2
282,Please rephrase your friend's comment.,NA,It is big relative to other,images/fish-parade-basic.png,9,NA,NA,NA,No,2,fish,elizabeth,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a big one.</b>,48,fish,None,1,NA,NA,graduated_college,big,English,female,NA,NA,You and your friend see the following:,2,1565987659541,NA,NA,1,NA,NA,custom_main_text2
282,Please rephrase your friend's comment.,NA,It is big relative to other,images/bird-parade-eagle.png,9,NA,NA,NA,No,2,birds,elizabeth,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b> That's a big eagle.</b>,48,birds,None,0,NA,NA,graduated_college,big,English,female,NA,NA,You and your friend see the following:,3,1565987659541,NA,NA,1,NA,NA,custom_main_text2
281,NA,small dog,NA,NA,9,warmup/doberman.png,chihuahua,This is a,no,2,dogs,sarah,doberman,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,1,1565987555273,1,This is a,1.5,These are both,big dog,warmup1
281,NA,chihuahua,NA,NA,9,warmup/doberman.png,chihuahua,This is a,no,2,dogs,sarah,doberman,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,1,1565987555273,2,This is a,1.5,These are both,doberman,warmup1
281,NA,dandelion,NA,NA,9,warmup/sunflower.png,dandelion,This is a,no,2,flowers,sarah,sunflower,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,male,NA,flowers,NA,2,1565987555273,1,This is a,1.5,These are both,sunflower,warmup1
281,NA,evergreen tree,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,no,2,trees,sarah,bonsai,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,male,NA,trees,NA,3,1565987555273,1,This is a,1.5,These are both,bonsai tree,warmup1
281,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,no,2,trees,sarah,bonsai,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,male,NA,trees,NA,3,1565987555273,2,This is a,1.5,These are both,bonsai,warmup1
281,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-basic.png,9,NA,NA,NA,no,2,dogs1,sarah,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small chihuahua.</b>,51,to a doberman,none,0,NA,NA,graduated_college,small,English,male,NA,NA,You and your friend see the following:,1,1565987555273,NA,NA,1.5,NA,NA,custom_main_text1
281,Please rephrase your friend's comment.,NA,It is big relative to other,images/tree-parade-redwood.png,9,NA,NA,NA,no,2,trees,sarah,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a big one.</b>,51,sequoias,none,1,NA,NA,graduated_college,big,English,male,NA,NA,You and your friend see the following:,2,1565987555273,NA,NA,1.5,NA,NA,custom_main_text1
281,Please rephrase your friend's comment.,NA,It is small relative to other,images/flower-parade-basic.png,9,NA,NA,NA,no,2,flowers,sarah,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small dandelion.</b>,51,sunflowers,none,0,NA,NA,graduated_college,small,English,male,NA,NA,You and your friend see the following:,3,1565987555273,NA,NA,1.5,NA,NA,custom_main_text1
281,NA,chihuahua,NA,NA,9,warmup/great-dane.jpg,pug,This is a,no,2,dogs,sarah,great dane,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/pug.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,1,1565987555273,1,This is a,1.5,These are both,beagle,warmup2
281,NA,pug,NA,NA,9,warmup/great-dane.jpg,pug,This is a,no,2,dogs,sarah,great dane,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/pug.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,1,1565987555273,2,This is a,1.5,These are both,great dane,warmup2
281,NA,humming bird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,no,2,birds,sarah,eagle,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/colibri.jpg,birds,graduated_college,NA,English,male,NA,birds,NA,2,1565987555273,1,This is an,1.5,These are both,eagle,warmup2
281,NA,hummingbird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,no,2,birds,sarah,eagle,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/colibri.jpg,birds,graduated_college,NA,English,male,NA,birds,NA,2,1565987555273,2,This is an,1.5,These are both,eagle,warmup2
281,NA,swordfish,NA,NA,9,warmup/goldfish.png,swordfish,This is a,no,2,fish,sarah,goldfish,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,male,NA,fish,NA,3,1565987555273,1,This is a,1.5,These are both,minnow,warmup2
281,NA,swordfish,NA,NA,9,warmup/goldfish.png,swordfish,This is a,no,2,fish,sarah,goldfish,NA,yes,Please label the pictures below.,51,NA,none,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,male,NA,fish,NA,3,1565987555273,2,This is a,1.5,These are both,goldfish,warmup2
281,Please rephrase your friend's comment.,NA,It is big relative to other,images/fish-parade-swordfish.png,9,NA,NA,NA,no,2,fish,sarah,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a big swordfish.</b>,51,goldfish,none,0,NA,NA,graduated_college,big,English,male,NA,NA,You and your friend see the following:,1,1565987555273,NA,NA,1.5,NA,NA,custom_main_text2
281,Please rephrase your friend's comment.,NA,It is big relative to other,images/bird-parade-eagle.png,9,NA,NA,NA,no,2,birds,sarah,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b> That's a big one.</b>,51,eagles,none,1,NA,NA,graduated_college,big,English,male,NA,NA,You and your friend see the following:,2,1565987555273,NA,NA,1.5,NA,NA,custom_main_text2
281,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-basic2.png,9,NA,NA,NA,no,2,dogs2,sarah,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small one.</b>,51,pugs,none,1,NA,NA,graduated_college,small,English,male,NA,NA,You and your friend see the following:,3,1565987555273,NA,NA,1.5,NA,NA,custom_main_text2
280,NA,tall,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,none,1,trees,linda,bonsai,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/sequoia.jpg,green,graduated_college,NA,English,female,NA,trees,NA,1,1565987209999,1,This is a,1,These are both,short,warmup1
280,NA,tall,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,none,1,trees,linda,bonsai,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987209999,2,This is a,1,These are both,short,warmup1
280,NA,tall,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,none,1,trees,linda,bonsai,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987209999,3,This is a,1,These are both,short,warmup1
280,NA,redwood,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,none,1,trees,linda,bonsai,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,female,NA,trees,NA,1,1565987209999,4,This is a,1,These are both,bonsai,warmup1
280,NA,chihuahua,NA,NA,9,warmup/doberman.png,chihuahua,This is a,none,1,dogs,linda,doberman,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,English,female,NA,dogs,NA,2,1565987209999,1,This is a,1,These are both,doberman,warmup1
280,NA,hummingbird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,none,1,birds,linda,eagle,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/colibri.jpg,birds,graduated_college,NA,English,female,NA,birds,NA,3,1565987209999,1,This is an,1,These are both,eagle,warmup1
280,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-chihuahua.png,9,NA,NA,NA,none,1,dogs1,linda,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That chihuahua is small.</b>,28,chihuahua,all good,0,NA,NA,graduated_college,small,English,female,NA,NA,You and your friend see the following:,1,1565987209999,NA,NA,1,NA,NA,custom_main_text1
280,Please rephrase your friend's comment.,NA,It is small relative to other,images/bird-parade-basic.png,9,NA,NA,NA,none,1,birds,linda,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b> That one is small.</b>,28,birds,all good,1,NA,NA,graduated_college,small,English,female,NA,NA,You and your friend see the following:,2,1565987209999,NA,NA,1,NA,NA,custom_main_text1
280,Please rephrase your friend's comment.,NA,It is big relative to other,images/tree-parade-redwood.png,9,NA,NA,NA,none,1,trees,linda,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That one is big.</b>,28,redwoods,all good,1,NA,NA,graduated_college,big,English,female,NA,NA,You and your friend see the following:,3,1565987209999,NA,NA,1,NA,NA,custom_main_text1
280,NA,dandeliom,NA,NA,9,warmup/sunflower.png,dandelion,This is a,none,1,flowers,linda,sunflower,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,female,NA,flowers,NA,1,1565987209999,1,This is a,1,These are both,sunflower,warmup2
280,NA,dandelion,NA,NA,9,warmup/sunflower.png,dandelion,This is a,none,1,flowers,linda,sunflower,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,female,NA,flowers,NA,1,1565987209999,2,This is a,1,These are both,sunflower,warmup2
280,NA,pug,NA,NA,9,warmup/great-dane.jpg,pug,This is a,none,1,dogs,linda,great dane,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/pug.jpg,dogs,graduated_college,NA,English,female,NA,dogs,NA,2,1565987209999,1,This is a,1,These are both,weinmaraner,warmup2
280,NA,pug,NA,NA,9,warmup/great-dane.jpg,pug,This is a,none,1,dogs,linda,great dane,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/pug.jpg,dogs,graduated_college,NA,English,female,NA,dogs,NA,2,1565987209999,2,This is a,1,These are both,great dane,warmup2
280,NA,swordfish,NA,NA,9,warmup/goldfish.png,swordfish,This is a,none,1,fish,linda,goldfish,NA,yes,Please label the pictures below.,28,NA,all good,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,female,NA,fish,NA,3,1565987209999,1,This is a,1,These are both,goldfish,warmup2
280,Please rephrase your friend's comment.,NA,It is big relative to other,images/fish-parade-basic.png,9,NA,NA,NA,none,1,fish,linda,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That swordfish is big.</b>,28,swordfish,all good,0,NA,NA,graduated_college,big,English,female,NA,NA,You and your friend see the following:,1,1565987209999,NA,NA,1,NA,NA,custom_main_text2
280,Please rephrase your friend's comment.,NA,It is big relative to other,images/flower-parade-basic.png,9,NA,NA,NA,none,1,flowers,linda,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That sunflower is big.</b>,28,flowers,all good,0,NA,NA,graduated_college,big,English,female,NA,NA,You and your friend see the following:,2,1565987209999,NA,NA,1,NA,NA,custom_main_text2
280,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-pug.png,9,NA,NA,NA,none,1,dogs2,linda,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That one is small.</b>,28,dogs,all good,1,NA,NA,graduated_college,small,English,female,NA,NA,You and your friend see the following:,3,1565987209999,NA,NA,1,NA,NA,custom_main_text2
279,NA,dog,NA,NA,9,warmup/great-dane.jpg,pug,This is a,No,2,dogs,margaret,great dane,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/pug.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,1,1565986724431,1,This is a,1,These are both,dog,warmup1
279,NA,pug,NA,NA,9,warmup/great-dane.jpg,pug,This is a,No,2,dogs,margaret,great dane,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/pug.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,1,1565986724431,2,This is a,1,These are both,great dane,warmup1
279,NA,sycamore,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,margaret,bonsai,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,male,NA,trees,NA,2,1565986724431,1,This is a,1,These are both,bonzai,warmup1
279,NA,sequoia,NA,NA,9,warmup/bonsai.jpg,redwood|sequoia,This is a,No,2,trees,margaret,bonsai,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/sequoia.jpg,trees,graduated_college,NA,English,male,NA,trees,NA,2,1565986724431,2,This is a,1,These are both,bonsai,warmup1
279,NA,daffodil,NA,NA,9,warmup/sunflower.png,dandelion,This is a,No,2,flowers,margaret,sunflower,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,male,NA,flowers,NA,3,1565986724431,1,This is a,1,These are both,sunflower,warmup1
279,NA,dandelion,NA,NA,9,warmup/sunflower.png,dandelion,This is a,No,2,flowers,margaret,sunflower,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,male,NA,flowers,NA,3,1565986724431,2,This is a,1,These are both,sunflower,warmup1
279,Please rephrase your friend's comment.,NA,It is big relative to other,images/flower-parade-sunflower.png,9,NA,NA,NA,No,2,flowers,margaret,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That one is big.</b>,33,sunflowers,None.,1,NA,NA,graduated_college,big,English,male,NA,NA,You and your friend see the following:,1,1565986724431,NA,NA,1,NA,NA,custom_main_text1
279,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-basic2.png,9,NA,NA,NA,No,2,dogs2,margaret,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That pug is small.</b>,33,dogs,None.,0,NA,NA,graduated_college,small,English,male,NA,NA,You and your friend see the following:,2,1565986724431,NA,NA,1,NA,NA,custom_main_text1
279,Please rephrase your friend's comment.,NA,It is small relative to other,images/tree-parade-basic.png,9,NA,NA,NA,No,2,trees,margaret,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That bonsai is small.</b>,33,trees,None.,0,NA,NA,graduated_college,small,English,male,NA,NA,You and your friend see the following:,3,1565986724431,NA,NA,1,NA,NA,custom_main_text1
279,NA,swordfish,NA,NA,9,warmup/goldfish.png,swordfish,This is a,No,2,fish,margaret,goldfish,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/swordfish.jpg,fish,graduated_college,NA,English,male,NA,fish,NA,1,1565986724431,1,This is a,1,These are both,goldfish,warmup2
279,NA,hummingbird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,No,2,birds,margaret,eagle,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/colibri.jpg,birds,graduated_college,NA,English,male,NA,birds,NA,2,1565986724431,1,This is an,1,These are both,eagle,warmup2
279,NA,chihuahua,NA,NA,9,warmup/doberman.png,chihuahua,This is a,No,2,dogs,margaret,doberman,NA,yes,Please label the pictures below.,33,NA,None.,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,English,male,NA,dogs,NA,3,1565986724431,1,This is a,1,These are both,doberman,warmup2
279,Please rephrase your friend's comment.,NA,It is big relative to other,images/bird-parade-eagle.png,9,NA,NA,NA,No,2,birds,margaret,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b> That eagle is big.</b>,33,eagles,None.,0,NA,NA,graduated_college,big,English,male,NA,NA,You and your friend see the following:,1,1565986724431,NA,NA,1,NA,NA,custom_main_text2
279,Please rephrase your friend's comment.,NA,It is big relative to other,images/dog-parade-doberman.png,9,NA,NA,NA,No,2,dogs1,margaret,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That one is big.</b>,33,dobermans,None.,1,NA,NA,graduated_college,big,English,male,NA,NA,You and your friend see the following:,2,1565986724431,NA,NA,1,NA,NA,custom_main_text2
279,Please rephrase your friend's comment.,NA,It is small relative to other,images/fish-parade-basic.png,9,NA,NA,NA,No,2,fish,margaret,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That one is small.</b>,33,fish,None.,1,NA,NA,graduated_college,small,English,male,NA,NA,You and your friend see the following:,3,1565986724431,NA,NA,1,NA,NA,custom_main_text2
278,NA,Shark,NA,NA,9,warmup/goldfish.png,swordfish,This is a,Nothing,1,fish,Jessica,goldfish,NA,NA,Please label the pictures below.,25,NA,interesting survey,NA,warmup/swordfish.jpg,fish,some_college,NA,English,male,NA,fish,NA,1,1565986278643,1,This is a,1.5,These are both,gold fish,warmup1
278,NA,swordfish,NA,NA,9,warmup/goldfish.png,swordfish,This is a,Nothing,1,fish,Jessica,goldfish,NA,NA,Please label the pictures below.,25,NA,interesting survey,NA,warmup/swordfish.jpg,fish,some_college,NA,English,male,NA,fish,NA,1,1565986278643,2,This is a,1.5,These are both,goldfish,warmup1
278,NA,squirrel,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,Nothing,1,birds,Jessica,eagle,NA,NA,Please label the pictures below.,25,NA,interesting survey,NA,warmup/colibri.jpg,birds,some_college,NA,English,male,NA,birds,NA,2,1565986278643,1,This is an,1.5,These are both,Eagle,warmup1
278,NA,hummingbird,NA,NA,9,warmup/eagle.jpg,hummingbird,This is a,Nothing,1,birds,Jessica,eagle,NA,NA,Please label the pictures below.,25,NA,interesting survey,NA,warmup/colibri.jpg,birds,some_college,NA,English,male,NA,birds,NA,2,1565986278643,2,This is an,1.5,These are both,Eagle,warmup1
278,NA,flower,NA,NA,9,warmup/sunflower.png,dandelion,This is a,Nothing,1,flowers,Jessica,sunflower,NA,NA,Please label the pictures below.,25,NA,interesting survey,NA,warmup/dandelion.jpg,flowers,some_college,NA,English,male,NA,flowers,NA,3,1565986278643,1,This is a,1.5,These are both,sunflower,warmup1
278,NA,dandelion,NA,NA,9,warmup/sunflower.png,dandelion,This is a,Nothing,1,flowers,Jessica,sunflower,NA,NA,Please label the pictures below.,25,NA,interesting survey,NA,warmup/dandelion.jpg,flowers,some_college,NA,English,male,NA,flowers,NA,3,1565986278643,2,This is a,1.5,These are both,sunflower,warmup1
278,Please rephrase your friend's comment.,NA,It is small relative to other,images/flower-parade-basic.png,9,NA,NA,NA,Nothing,1,flowers,Jessica,NA,0,NA,Your friend points to another member of the group which you cannot see and says: <br/><b>That one is small.</b>,25,Yes,interesting survey,1,NA,NA,some_college,small,English,male,NA,NA,You and your friend see the following:,1,1565986278643,NA,NA,1.5,NA,NA,custom_main_text1
278,Please rephrase your friend's comment.,NA,It is small relative to other,images/fish-parade-basic.png,9,NA,NA,NA,Nothing,1,fish,Jessica,NA,0,NA,Your friend points to another member of the group which you cannot see and says: <br/><b>That goldfish is small.</b>,25,Yes,interesting survey,0,NA,NA,some_college,small,English,male,NA,NA,You and your friend see the following:,2,1565986278643,NA,NA,1.5,NA,NA,custom_main_text1
278,Please rephrase your friend's comment.,NA,It is big relative to other,images/bird-parade-eagle.png,9,NA,NA,NA,Nothing,1,birds,Jessica,NA,1,NA,Your friend points to another member of the group which you cannot see and says: <br/><b> That one is big.</b>,25,That one is big,interesting survey,1,NA,NA,some_college,big,English,male,NA,NA,You and your friend see the following:,3,1565986278643,NA,NA,1.5,NA,NA,custom_main_text1
